mass_solar,radius_km,rho_c_over_n0,S_central_kB,S_limit,compactness
1.7884553762087685,12.375862185339361,3.798533271694516,8.383348057630243,9.81,0.21343241202910612
1.8066575380808192,12.328489556624094,3.9184746025622967,8.460184569691615,9.81,0.21643310712640138
1.8240574134534602,12.282615785287408,4.038415933430077,8.534585856955065,9.81,0.21933370030671528
1.8406956037059627,12.238143110760609,4.158357264297858,8.606761646894899,9.81,0.22213867445394156
1.8566104895826383,12.194985282144845,4.278298595165639,8.676879517030525,9.81,0.22485225518276797
1.8718382667102333,12.153065193757259,4.398239926033419,8.74507802460834,9.81,0.2274784300357296
1.8864130281960687,12.11231321702162,4.5181812569012,8.81147514459795,9.81,0.2300209658322733
1.9003668713865558,12.072665988895324,4.63812258776898,8.876173754469352,9.81,0.23248342439206982
1.9137300148123968,12.034065504281243,4.758063918636761,8.939265255636869,9.81,0.23486917682271088
1.9265309170202212,11.996458414915468,4.878005249504541,9.000832013704034,9.81,0.23718141653521307
1.9387963925392866,11.95979547188849,4.997946580372322,9.060949044502326,9.81,0.2394231711283945
1.9505517224222282,11.924031070822759,5.1178879112401034,9.119685213653428,9.81,0.2415973132643848
1.9618207581301759,11.889122872575669,5.237829242107884,9.177104118057901,9.81,0.24370657064164758
1.9726260183255175,11.85503148116167,5.357770572975665,9.233264755748984,9.81,0.24575353515840526
1.982988778594386,11.821720166262496,5.477711903843445,9.288222051845317,9.81,0.24774067134786598
1.9929291543741874,11.789154621387407,5.597653234711226,9.342027284105104,9.81,0.24967032415681506
2.002466177490085,11.757302751184667,5.717594565579006,9.394728436362332,9.81,0.25154472613068224
2.0116178667584754,11.726134483045675,5.837535896446787,9.446370498518109,9.81,0.25336600406091025
2.0204012931263704,11.695621599270016,5.957477227314567,9.496995725656799,9.81,0.2551361851441439
2.02883263980228,11.665737586852217,6.077418558182348,9.546643864945995,9.81,0.25685720269728574
2.0369272578081934,11.636457502522804,6.197359889050129,9.59535235644569,9.81,0.2585309014676966
2.0446997173506105,11.607757851100255,6.31730121991791,9.643156512286795,9.81,0.26015904257365213
2.0521638553751833,11.579616475532477,6.43724255078569,9.690089677565314,9.81,0.26174330810652163
2.0593328196367096,11.552012457257513,6.557183881653471,9.736183375537568,9.81,0.2632853054229237
2.066219109585211,11.52492602571305,6.6771252125212515,9.78146743916899,9.81,0.2647865711522918
0.8397783253375903,15.02734484485728,0.8,3.8147160863465115,12.0,0.08253537656784606
1.0093089196333835,14.63711460529107,1.0744897959183672,3.920569769670927,12.0,0.10184187030226294
1.1504947593723627,14.298164710796193,1.3489795918367347,4.345241298068102,12.0,0.11883984521062475
1.2704522189671512,14.00537473358823,1.623469387755102,4.85681124515683,12.0,0.13397424893494028
1.3719668357415908,13.732152505036584,1.8979591836734695,5.543850413579547,12.0,0.14755798767273834
1.4580546258358593,13.473671041018198,2.1724489795918367,6.361348544339149,12.0,0.15982532036085506
1.5341269464002847,13.253391106761974,2.4469387755102043,7.028869792524797,12.0,0.170959017189641
1.6032526462997874,13.074560878513555,2.7214285714285715,7.4666507596896325,12.0,0.18110589308868108
1.6659302933748004,12.923451093860457,2.995918367346939,7.768886975485724,12.0,0.19038645626516618
1.722469969796505,12.790037276248581,3.2704081632653064,8.006479584051142,12.0,0.19890127964026416
1.7733877344350186,12.669123108158393,3.5448979591836736,8.211493346037628,12.0,0.20673541132473935
1.8192703221382764,12.557964197674206,3.819387755102041,8.396893613517795,12.0,0.2139615437751198
1.8606776635178635,12.454892312299757,4.093877551020409,8.56822604951051,12.0,0.22064236082500174
1.8981107481465336,12.35874418494429,4.368367346938776,8.728265267184293,12.0,0.2268323196391563
1.9320082065782438,12.26863190381311,4.642857142857143,8.878694123482905,12.0,0.2325790320564959
1.962752076049212,12.183842445026054,4.91734693877551,9.020707165138669,12.0,0.23792435438574785
1.9906754398575937,12.103786848201944,5.191836734693878,9.155238218372151,12.0,0.2429052602202062
2.016069624718407,12.027970221365441,5.466326530612245,9.283055524361599,12.0,0.24755454861241985
2.039190393453395,11.955971752591886,5.740816326530613,9.40480814734864,12.0,0.25190142520088993
2.060263125364084,11.88743030380225,6.0153061224489806,9.521052856788842,12.0,0.25597198383694286
2.0794871225548186,11.822033535982433,6.289795918367347,9.632272065606376,12.0,0.2597896092620028
2.0970391966403708,11.759509469780454,6.564285714285715,9.738886950253871,12.0,0.26337531640977474
2.1130766708304765,11.699619816934256,6.838775510204083,9.84126756081557,12.0,0.2667480383051678
2.127739907249009,11.642154641260841,7.113265306122449,9.939740842318539,12.0,0.2699248718803312
2.141154446939894,11.586928038744952,7.387755102040817,10.034597111597908,12.0,0.2729212890478062
2.153432831917447,11.533774610375211,7.662244897959185,10.126095350118542,12.0,0.2757513188717287
2.164676164463312,11.482546558870997,7.936734693877551,10.214467569326041,12.0,0.27842770552937696
2.1749754478825603,11.433111281282379,8.211224489795919,10.29992243912951,12.0,0.28096204586535745
2.1844127443822634,11.385349359181383,8.485714285714286,10.382648324736326,12.0,0.2833649096440518
2.193062179045768,11.339152870192914,8.760204081632654,10.462815844302733,12.0,0.2856459450554583
2.2009908136023264,11.294423961153123,9.03469387755102,10.540580035530944,12.0,0.28781397159079086
2.2082594095034067,11.251073635738836,9.30918367346939,10.616082200933317,12.0,0.28987706205167185
2.21492309646585,11.209020719036117,9.583673469387756,10.689451487372958,12.0,0.2918426151713923
2.221031959941939,11.168190968958879,9.858163265306123,10.760806244563167,12.0,0.2937174200941364
2.2266315587864076,11.128516310231147,10.13265306122449,10.830255198672742,12.0,0.2955077137672743
2.231763382603068,11.089934171204707,10.407142857142857,10.897898470464995,12.0,0.29721923214438556
2.236465256786513,11.052386907390462,10.681632653061227,10.963828462070797,12.0,0.2988572559660144
2.2407717020632814,11.015821298453854,10.956122448979594,11.028130632243775,12.0,0.30042665177616246
2.244714254332123,10.980188107726999,11.23061224489796,11.090884176530409,12.0,0.3019319087411445
2.2483217497654024,10.945441695146393,11.505102040816327,11.152162626028407,12.0,0.3033771717604772
2.2516205794321786,10.911539676030205,11.779591836734694,11.212034376164707,12.0,0.3047662712943724
2.254634917113508,10.87844261933604,12.05408163265306,11.270563155093384,12.0,0.3061027502771205
2.2573869234823056,10.84611378004576,12.328571428571431,11.327808439810326,12.0,0.30738988843850656
2.2598969293976965,10.814518861151413,12.603061224489798,11.383825826841681,12.0,0.30863072431507
2.262183600704452,10.783625801401312,12.877551020408164,11.438667363335515,12.0,0.3098280751983747
2.2642640866213215,10.753404585534074,13.152040816326531,11.492381843531021,12.0,0.3109845552376262
2.2661541535392664,10.723827074203031,13.426530612244898,11.545015074865049,12.0,0.31210259188818507
2.2678683058248468,10.694866851191106,13.701020408163266,11.596610117376052,12.0,0.3131844408751789
2.2694198950294378,10.666499085850386,13.975510204081635,11.647207499560643,12.0,0.31423219982200035
2.27082121873684,10.638700408982917,14.25,11.696845413411019,12.0,0.3152478206765541
